Entity	Entity GL	Conso GL	Account Name
HMW	    61210075	61210075	เบี้ยเลี้ยงนักศึกษาฝึกงาน-บริหาร
HMW	    61210078	61210078	ค่าล่วงเวลา-บริหาร
HMW	    61210079	61210079	ผลประโยช์ของพนักงานอื่น-บริหาร
HMW	    61210009	61210009	กองทุนสำรองเลี้ยงชีพ
HMW	    61210010	61210010	เงินเดือน/ค่าล่วงเวลา-บริหาร
HMW	    61210011	61210011	เบี้ยเลี้ยง-บริหาร
HMW	    61210013	61210013	ค่าสวัสดิการพนักงาน-บริหาร
HMW	    61210014	61210014	ค่ารักษาพยาบาล-บริหาร
HMW	    61210015	61210015	เงินสมทบประกันสังคมนายจ้าง-บริหาร
HMW	    61210016	61210016	ผลประโยชน์พนักงานหลังออกจากงาน-บริหาร
HMW	    61210026	61210026	ค่าน้ำมันเชื้อเพลิง-บริหาร
HMW	    61210030	61210030	ค่าใช้จ่ายในการเดินทาง-บริหาร
HMW	    61210032	61210032	การฝึกอบรมและพัฒนาบุคคลากร-บริหาร
HMW	    61210043	61210043	ค่ารักษาความปลอดภัย-บริหาร
HMW	    61210044	61210044	ค่าทำความสะอาด-บริหาร
HMW	    61210061	61210063	ค่าที่พัก
HMW	    61210064	61210026	ค่าน้ำมันเชื้อเพลิงFleetcard-บริหาร
HMW	    61210069	61210069	ค่าใช้จ่าย-จัดหาบุคลากร
HMW	    61210077	61210078	ค่าล่วงเวลา-บริหาร
HMW	    61210073	61210073-1	ค่านายหน้า-บริหาร
HMW	    61210080	61210080	ค่าแรงจูงใจพนักงาน-บริหาร
CLIK	61210075	61210075	เบี้ยเลี้ยงนักศึกษาฝึกงาน-บริหาร
CLIK	61210078	61210078	ค่าล่วงเวลา-บริหาร
CLIK	61210079	61210079	ผลประโยช์ของพนักงานอื่น-บริหาร
CLIK	61210002	61210009	กองทุนสำรองเลี้ยงชีพ
CLIK	61210001	61210010	เงินเดือน/ค่าล่วงเวลา-บริหาร
CLIK	61210003	61210011	เบี้ยเลี้ยง-บริหาร
CLIK	61210004	61210012	โบนัส-บริหาร
CLIK	61210005	61210013	ค่าสวัสดิการพนักงาน-บริหาร
CLIK	61210006	61210014	ค่ารักษาพยาบาล-บริหาร
CLIK	61210007	61210015	เงินสมทบประกันสังคมนายจ้าง-บริหาร
CLIK	61210008	61210016	ผลประโยชน์พนักงานหลังออกจากงาน-บริหาร
CLIK	61210018	61210026	ค่าน้ำมันเชื้อเพลิง-บริหาร
CLIK	61210021	61210030	ค่าใช้จ่ายในการเดินทาง-บริหาร
CLIK	61210023	61210032	การฝึกอบรมและพัฒนาบุคคลากร-บริหาร
CLIK	61210034	61210043	ค่ารักษาความปลอดภัย-บริหาร
CLIK	61210035	61210044	ค่าทำความสะอาด-บริหาร
CLIK	61210050	61210063	ค่าที่พัก
CLIK	61210051	61210069	ค่าใช้จ่าย-จัดหาบุคลากร
CLIK	61210081	61210081	เบี้ยขยัน-บริหาร
CLIK	61210056	61210073-1	ค่านายหน้าในการขาย-บริหาร
CLIK	61210080	61210080	ค่าแรงจูงใจพนักงาน-บริหาร
CLIK	Dummy-1	    Dummy-1	    กองทุนทดแทน
